                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.7425,                0.86658,                 1.0283,                0.91696,                 0.7594,                0.84762,                0.67765,                0.76671,                0.91175,                 1.0705,              0.0011224,              0.0011224,              0.0011224
                     35,                0.69838,                0.76068,                 1.0013,                0.91833,                0.76493,                0.88792,                0.71096,                0.73811,                0.86423,                 1.0409,              0.0011059,              0.0011059,              0.0011059
                     36,                0.74292,                0.85419,                 1.0183,                 0.7995,                0.81212,                0.85672,                0.67353,                0.79533,                0.95786,                 1.0684,              0.0010894,              0.0010894,              0.0010894
                     37,                0.74981,                0.81284,                 1.0298,                0.86577,                0.79293,                0.87581,                0.67216,                0.78051,                0.99564,                 1.0632,              0.0010729,              0.0010729,              0.0010729
                     38,                0.74436,                0.80204,                 1.0178,                0.91562,                0.79755,                0.88763,                0.70162,                0.76875,                0.86343,                 1.0564,              0.0010564,              0.0010564,              0.0010564
                     39,                0.74415,                0.80999,                 1.0066,                0.90475,                0.81616,                0.90701,                0.70662,                0.74083,                0.82814,                 1.0341,              0.0010399,              0.0010399,              0.0010399
                     40,                0.71683,                 0.7644,                  1.008,                 0.8721,                 0.8326,                0.90357,                0.70515,                0.77485,                0.85962,                 1.0621,              0.0010234,              0.0010234,              0.0010234
                     41,                0.69813,                0.72772,                0.98908,                0.84244,                0.81615,                0.86908,                0.66405,                0.81825,                0.88413,                 1.0874,              0.0010069,              0.0010069,              0.0010069
                     42,                0.73151,                0.75584,                 1.0326,                0.90838,                0.80505,                0.90893,                0.70465,                 0.7805,                0.79961,                 1.0683,             0.00099036,             0.00099036,             0.00099036
                     43,                0.69821,                0.71597,                0.97006,                0.94725,                0.81626,                0.89137,                0.70073,                0.77487,                0.87313,                 1.0866,             0.00097386,             0.00097386,             0.00097386
                     44,                0.71117,                0.75504,                 1.0113,                0.91351,                0.82121,                0.89154,                0.69511,                0.77924,                0.83405,                  1.084,             0.00095736,             0.00095736,             0.00095736
                     45,                0.67651,                0.68539,                 0.9904,                0.91927,                0.78574,                0.88933,                0.72476,                0.74506,                 0.8107,                  1.042,             0.00094085,             0.00094085,             0.00094085
                     46,                0.68886,                0.70338,                 1.0243,                0.95481,                0.81399,                0.91015,                0.74701,                0.71245,                0.71536,                 1.0205,             0.00092435,             0.00092435,             0.00092435
                     47,                  0.713,                0.70757,                0.98065,                0.93691,                 0.8134,                0.89309,                0.69924,                0.77326,                 0.7835,                  1.078,             0.00090785,             0.00090785,             0.00090785
                     48,                0.68121,                0.71925,                0.99789,                0.86924,                0.81212,                0.86781,                0.70286,                0.73105,                0.86999,                 1.0536,             0.00089134,             0.00089134,             0.00089134
                     49,                0.64383,                0.65605,                0.97693,                 0.9063,                0.83343,                0.89229,                0.72815,                 0.6714,                0.73336,                 1.0267,             0.00087484,             0.00087484,             0.00087484
                     50,                0.64712,                0.67704,                0.99378,                0.95327,                0.83238,                0.89997,                0.72503,                0.70443,                0.74865,                 1.0389,             0.00085834,             0.00085834,             0.00085834
                     51,                0.67245,                0.66902,                0.97386,                0.85633,                0.86016,                 0.9019,                 0.7121,                0.73082,                0.76344,                 1.0297,             0.00084184,             0.00084184,             0.00084184
                     52,                 0.6671,                0.66941,                0.95948,                0.93506,                 0.7828,                0.89466,                0.71847,                0.69952,                0.77156,                 1.0033,             0.00082533,             0.00082533,             0.00082533
                     53,                0.68467,                0.68395,                0.98749,                0.91256,                0.76061,                0.86411,                 0.7129,                0.70549,                0.80346,                 1.0396,             0.00080883,             0.00080883,             0.00080883
                     54,                 0.6369,                0.63449,                0.96722,                0.92998,                0.78822,                 0.8774,                0.74982,                0.68529,                0.76546,                  1.022,             0.00079233,             0.00079233,             0.00079233
                     55,                0.63434,                0.68108,                0.98314,                0.92383,                0.79394,                0.87664,                0.72314,                0.73772,                0.79345,                 1.0441,             0.00077582,             0.00077582,             0.00077582
                     56,                0.64244,                0.62158,                0.95641,                0.89982,                0.75611,                0.84754,                0.70324,                0.71108,                0.84452,                  1.032,             0.00075932,             0.00075932,             0.00075932
                     57,                0.68982,                0.62907,                0.94908,                 0.8923,                 0.7739,                0.85837,                0.69806,                 0.7206,                0.83182,                 1.0368,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.6402,                0.62906,                0.96526,                0.93149,                0.79899,                0.87454,                0.71736,                0.70935,                0.80365,                 1.0263,             0.00072631,             0.00072631,             0.00072631
                     59,                0.63599,                0.68874,                0.98584,                0.91117,                0.81926,                0.88511,                0.73362,                0.71724,                0.70961,                 1.0418,             0.00070981,             0.00070981,             0.00070981
                     60,                0.66303,                0.62966,                0.97354,                0.86273,                0.86509,                0.89418,                0.73373,                0.67665,                0.68764,                 1.0101,             0.00069331,             0.00069331,             0.00069331
                     61,                0.66154,                0.65802,                0.98956,                0.87403,                0.82525,                0.88908,                0.73278,                0.71056,                0.70923,                 1.0222,              0.0006768,              0.0006768,              0.0006768
                     62,                0.61302,                0.58466,                 0.9469,                0.91638,                0.84949,                 0.9063,                 0.7542,                0.70383,                0.69112,                 1.0255,              0.0006603,              0.0006603,              0.0006603
                     63,                0.59922,                0.55814,                0.97444,                 0.9108,                0.84626,                 0.9167,                0.75519,                0.69515,                0.66587,                 1.0272,              0.0006438,              0.0006438,              0.0006438
                     64,                0.62202,                0.66793,                0.96442,                0.91261,                0.82439,                0.90243,                0.75974,                0.69876,                0.69127,                 1.0275,             0.00062729,             0.00062729,             0.00062729
                     65,                0.62461,                0.56301,                0.95505,                0.95459,                0.79562,                0.87864,                0.72491,                0.69148,                0.72538,                 1.0004,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.6056,                0.57287,                0.94636,                0.94351,                 0.7899,                0.87702,                 0.7329,                0.67314,                 0.7402,                0.99247,             0.00059429,             0.00059429,             0.00059429
                     67,                0.55081,                0.53861,                0.94093,                0.88948,                0.86197,                0.89403,                0.73692,                0.67105,                0.71028,                 1.0139,             0.00057778,             0.00057778,             0.00057778
                     68,                0.58983,                0.57027,                0.95576,                0.92765,                0.82343,                0.89088,                 0.7313,                0.67444,                0.67338,                 1.0199,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.5781,                0.54145,                0.94162,                0.90862,                 0.8559,                0.90829,                 0.7649,                0.65204,                0.64851,                0.99999,             0.00054478,             0.00054478,             0.00054478
                     70,                 0.5734,                0.53437,                0.98317,                0.91169,                0.85438,                0.92365,                0.77988,                0.65026,                0.58651,                 1.0003,             0.00052827,             0.00052827,             0.00052827
                     71,                0.60217,                0.55006,                0.95911,                0.90162,                0.84269,                0.90205,                0.74488,                0.67489,                0.62214,                 1.0165,             0.00051177,             0.00051177,             0.00051177
                     72,                0.59823,                0.53004,                0.95082,                0.92719,                0.81283,                 0.9056,                0.74607,                0.67587,                0.63352,                 1.0225,             0.00049527,             0.00049527,             0.00049527
                     73,                0.56424,                0.52976,                0.93399,                0.88086,                0.89253,                0.91386,                0.75753,                0.67193,                  0.612,                 1.0034,             0.00047876,             0.00047876,             0.00047876
                     74,                0.57895,                0.53334,                0.95871,                0.91338,                0.85894,                0.91303,                0.75759,                0.66355,                0.63305,                0.98665,             0.00046226,             0.00046226,             0.00046226
                     75,                 0.5585,                0.53516,                0.93931,                0.91019,                0.85537,                0.90344,                0.75162,                0.63783,                0.64541,                 0.9738,             0.00044576,             0.00044576,             0.00044576
                     76,                0.58974,                0.54765,                0.95425,                 0.8877,                 0.8544,                0.90277,                0.75518,                0.64425,                0.65159,                0.97099,             0.00042925,             0.00042925,             0.00042925
                     77,                0.58746,                0.50474,                0.91525,                0.91109,                0.81212,                0.89856,                 0.7587,                0.64128,                0.64983,                 0.9824,             0.00041275,             0.00041275,             0.00041275
                     78,                0.53272,                0.49834,                0.91401,                0.94307,                0.78963,                0.89906,                0.76134,                0.61358,                0.65241,                0.97721,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.5262,                0.49226,                0.92813,                0.93713,                0.83434,                0.91196,                0.75667,                0.63201,                0.60547,                0.99406,             0.00037974,             0.00037974,             0.00037974
                     80,                0.58348,                0.51644,                0.93433,                0.93934,                0.84343,                0.91998,                0.75824,                0.64401,                0.58554,                 1.0129,             0.00036324,             0.00036324,             0.00036324
                     81,                0.51816,                0.47166,                0.91624,                0.92951,                0.85455,                0.91707,                0.76639,                0.63354,                0.58561,                 1.0042,             0.00034674,             0.00034674,             0.00034674
                     82,                0.53763,                 0.4964,                0.92559,                0.96005,                0.82525,                0.91752,                0.76975,                0.64074,                0.57585,                 1.0016,             0.00033023,             0.00033023,             0.00033023
                     83,                0.58268,                0.49185,                0.94822,                 0.8647,                0.85985,                0.91176,                0.76864,                0.65998,                0.57423,                 1.0108,             0.00031373,             0.00031373,             0.00031373
                     84,                0.55058,                0.48817,                0.91818,                0.81134,                0.88586,                0.90782,                0.77032,                0.63621,                0.57807,                0.99309,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.5282,                0.53259,                0.94774,                0.86055,                0.85712,                0.90718,                0.77263,                0.63674,                0.57657,                0.99295,             0.00028072,             0.00028072,             0.00028072
                     86,                0.61904,                0.51428,                 1.0017,                0.88873,                0.85051,                0.90961,                0.76822,                0.64322,                0.56939,                 0.9928,             0.00026422,             0.00026422,             0.00026422
                     87,                0.50487,                0.49061,                0.92013,                0.90278,                0.84304,                0.90535,                0.77074,                0.63439,                0.58406,                0.99349,             0.00024772,             0.00024772,             0.00024772
                     88,                0.49829,                0.45494,                0.92927,                0.90464,                0.83636,                0.89849,                0.76919,                0.62288,                0.61002,                0.98743,             0.00023121,             0.00023121,             0.00023121
                     89,                0.51304,                 0.4998,                0.94736,                 0.8654,                0.85474,                0.89403,                0.76409,                0.61786,                0.61624,                0.97959,             0.00021471,             0.00021471,             0.00021471
                     90,                0.43759,                0.38831,                0.88015,                0.86771,                0.85657,                0.89117,                0.76406,                0.62254,                0.63225,                0.98371,             0.00019821,             0.00019821,             0.00019821
                     91,                0.46976,                 0.3992,                 0.8737,                 0.9099,                0.81414,                0.89624,                0.76684,                0.61844,                0.64758,                0.97538,              0.0001817,              0.0001817,              0.0001817
                     92,                0.44792,                0.40931,                0.86121,                0.89862,                0.82525,                0.90049,                0.77072,                0.60221,                0.62374,                0.97031,              0.0001652,              0.0001652,              0.0001652
                     93,                0.44791,                0.39479,                0.85384,                0.92711,                0.81241,                 0.9068,                0.77274,                0.61192,                0.60217,                0.97752,              0.0001487,              0.0001487,              0.0001487
                     94,                0.42309,                0.35982,                0.85551,                0.91629,                0.82726,                0.90961,                0.77616,                0.62152,                0.59155,                0.98352,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.4281,                0.37179,                0.84826,                0.90768,                0.83404,                0.91291,                 0.7825,                0.61494,                 0.5904,                0.98181,             0.00011569,             0.00011569,             0.00011569
                     96,                 0.4084,                0.36223,                0.84098,                 0.8903,                0.85908,                0.91495,                0.78169,                0.60631,                0.59213,                0.97627,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.40276,                0.36335,                 0.8438,                0.93584,                0.83286,                0.91581,                0.78171,                0.61293,                0.58736,                0.97505,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.39092,                0.35229,                0.85354,                0.96024,                0.81249,                0.91539,                0.78316,                0.60366,                0.58038,                 0.9673,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.40178,                0.38543,                0.83426,                 0.9276,                 0.8366,                0.91934,                0.78543,                0.60064,                0.57575,                0.96787,             4.9677e-05,             4.9677e-05,             4.9677e-05
